case_id,truth,alpha,structural_gain,quality,prediction,correct,alpha_distance,structural_distance,quality_distance
IND_KEEP_01,KEEP,1.0399200961885033,0.0,0.8367246242981103,KEEP,True,0.000386096188503382,0.388612,0.0367246242981103
IND_KEEP_02,KEEP,1.041236752655396,0.0,0.8870649280936087,KEEP,True,0.0017027526553961003,0.388612,0.08706492809360866
IND_KEEP_03,KEEP,1.039807781460633,0.0,0.960625894763565,KEEP,True,0.0002737814606330602,0.388612,0.16062589476356492
IND_KEEP_04,KEEP,1.0392361198695084,0.0,0.8643971101708858,RECALIBRATE,False,0.0002978801304915901,0.388612,0.06439711017088579
IND_KEEP_05,KEEP,1.0410313204015593,0.0,0.9077870869848429,KEEP,True,0.0014973204015593655,0.388612,0.10778708698484285
IND_KEEP_06,KEEP,1.0405805766373337,0.0,0.863686221437078,KEEP,True,0.0010465766373337626,0.388612,0.06368622143707792
IND_KEEP_07,KEEP,1.0390103142283111,0.0,0.8951729720326767,RECALIBRATE,False,0.0005236857716888199,0.388612,0.0951729720326766
IND_KEEP_08,KEEP,1.0403119522651465,0.0,0.9859120254397322,KEEP,True,0.000777952265146542,0.388612,0.18591202543973218
IND_KEEP_09,KEEP,1.0399345730855551,0.0,0.9846109128221905,KEEP,True,0.0004005730855551892,0.388612,0.18461091282219044
IND_KEEP_10,KEEP,1.0389642386982758,0.0,0.9768876848007936,RECALIBRATE,False,0.0005697613017241476,0.388612,0.17688768480079353
IND_KEEP_11,KEEP,1.0398034935228873,0.0,0.9905185865997416,KEEP,True,0.00026949352288729855,0.388612,0.19051858659974152
IND_KEEP_12,KEEP,1.0407359544372858,0.0,0.9031559347215034,KEEP,True,0.0012019544372858793,0.388612,0.1031559347215033
IND_KEEP_13,KEEP,1.040980410587099,0.0,0.9993234234199525,KEEP,True,0.0014464105870990451,0.388612,0.19932342341995246
IND_KEEP_14,KEEP,1.0398301708274316,0.0,0.8374008992519053,KEEP,True,0.0002961708274316077,0.388612,0.03740089925190526
IND_KEEP_15,KEEP,1.0394959287894274,0.0,0.8614102400058122,RECALIBRATE,False,3.8071210572532266e-05,0.388612,0.06141024000581219
IND_KEEP_16,KEEP,1.039486052064093,0.0,0.8286325889816254,RECALIBRATE,False,4.7947935907011185e-05,0.388612,0.02863258898162535
IND_KEEP_17,KEEP,1.0411406249214248,0.0,0.9029244818932457,KEEP,True,0.0016066249214248263,0.388612,0.10292448189324566
IND_KEEP_18,KEEP,1.0402316879419622,0.0,0.9892532052761865,KEEP,True,0.0006976879419622328,0.388612,0.1892532052761865
IND_KEEP_19,KEEP,1.040395555232541,0.0,0.9603097970040079,KEEP,True,0.0008615552325410558,0.388612,0.16030979700400783
IND_KEEP_20,KEEP,1.0395413602059724,0.0,0.8812271066677919,KEEP,True,7.360205972473111e-06,0.388612,0.08122710666779187
IND_RECALIBRATE_01,RECALIBRATE,0.9886184700819216,0.0,0.972517283792017,RECALIBRATE,True,0.05091552991807835,0.388612,0.17251728379201692
IND_RECALIBRATE_02,RECALIBRATE,1.0002636987242859,0.0,0.9667829741348053,RECALIBRATE,True,0.03927030127571407,0.388612,0.16678297413480525
IND_RECALIBRATE_03,RECALIBRATE,1.0186691070597453,0.0,0.9274609853520156,RECALIBRATE,True,0.02086489294025462,0.388612,0.12746098535201555
IND_RECALIBRATE_04,RECALIBRATE,1.021940134083281,0.0,0.8433465964762389,RECALIBRATE,True,0.017593865916718965,0.388612,0.04334659647623884
IND_RECALIBRATE_05,RECALIBRATE,0.9825921990781857,0.0,0.9395834276236621,RECALIBRATE,True,0.05694180092181422,0.388612,0.13958342762366205
IND_RECALIBRATE_06,RECALIBRATE,0.9118007399528333,0.0,0.9885785612105275,RECALIBRATE,True,0.12773326004716667,0.388612,0.1885785612105274
IND_RECALIBRATE_07,RECALIBRATE,0.9125913875982727,0.0,0.8691823434268311,RECALIBRATE,True,0.12694261240172722,0.388612,0.06918234342683105
