case,truth,alpha_case,structural_relative_gain,quality,predicted,correct
IND_KEEP_1,KEEP,1.0399200961885033,0.0,0.8367246242981103,KEEP,True
IND_KEEP_2,KEEP,1.041236752655396,0.0,0.8870649280936087,KEEP,True
IND_KEEP_3,KEEP,1.039807781460633,0.0,0.960625894763565,KEEP,True
IND_KEEP_4,KEEP,1.0392361198695084,0.0,0.8643971101708858,RECALIBRATE,False
IND_KEEP_5,KEEP,1.0410313204015593,0.0,0.9077870869848429,KEEP,True
IND_KEEP_6,KEEP,1.0405805766373337,0.0,0.863686221437078,KEEP,True
IND_KEEP_7,KEEP,1.0390103142283111,0.0,0.8951729720326767,RECALIBRATE,False
IND_KEEP_8,KEEP,1.0403119522651465,0.0,0.9859120254397322,KEEP,True
IND_KEEP_9,KEEP,1.0399345730855551,0.0,0.9846109128221905,KEEP,True
IND_KEEP_10,KEEP,1.0389642386982758,0.0,0.9768876848007936,RECALIBRATE,False
IND_KEEP_11,KEEP,1.0398034935228873,0.0,0.9905185865997416,KEEP,True
IND_KEEP_12,KEEP,1.0407359544372858,0.0,0.9031559347215034,KEEP,True
IND_KEEP_13,KEEP,1.040980410587099,0.0,0.9993234234199525,KEEP,True
IND_KEEP_14,KEEP,1.0398301708274316,0.0,0.8374008992519053,KEEP,True
IND_KEEP_15,KEEP,1.0394959287894274,0.0,0.8614102400058122,RECALIBRATE,False
IND_KEEP_16,KEEP,1.039486052064093,0.0,0.8286325889816254,RECALIBRATE,False
IND_KEEP_17,KEEP,1.0411406249214248,0.0,0.9029244818932457,KEEP,True
IND_KEEP_18,KEEP,1.0402316879419622,0.0,0.9892532052761865,KEEP,True
IND_KEEP_19,KEEP,1.040395555232541,0.0,0.9603097970040079,KEEP,True
IND_KEEP_20,KEEP,1.0395413602059724,0.0,0.8812271066677919,KEEP,True
IND_RECALIBRATE_1,RECALIBRATE,0.9886184700819216,0.0,0.972517283792017,RECALIBRATE,True
IND_RECALIBRATE_2,RECALIBRATE,1.0002636987242859,0.0,0.9667829741348053,RECALIBRATE,True
IND_RECALIBRATE_3,RECALIBRATE,1.0186691070597453,0.0,0.9274609853520156,RECALIBRATE,True
IND_RECALIBRATE_4,RECALIBRATE,1.021940134083281,0.0,0.8433465964762389,RECALIBRATE,True
IND_RECALIBRATE_5,RECALIBRATE,0.9825921990781857,0.0,0.9395834276236621,RECALIBRATE,True
IND_RECALIBRATE_6,RECALIBRATE,0.9118007399528333,0.0,0.9885785612105275,RECALIBRATE,True
IND_RECALIBRATE_7,RECALIBRATE,0.9125913875982727,0.0,0.8691823434268311,RECALIBRATE,True
IND_RECALIBRATE_8,RECALIBRATE,0.9212814220841369,0.0,0.9890521844748028,RECALIBRATE,True
IND_RECALIBRATE_9,RECALIBRATE,0.9169882252402636,0.0,0.8980391792919982,RECALIBRATE,True
IND_RECALIBRATE_10,RECALIBRATE,0.9771168268983031,0.0,0.9073978619689185,RECALIBRATE,True
IND_RECALIBRATE_11,RECALIBRATE,1.0221628078965381,0.0,0.8506605852967192,RECALIBRATE,True
IND_RECALIBRATE_12,RECALIBRATE,1.017610131480585,0.0,0.9668150908509054,RECALIBRATE,True
IND_RECALIBRATE_13,RECALIBRATE,1.0066519965119307,0.0,0.9041179404560663,RECALIBRATE,True
IND_RECALIBRATE_14,RECALIBRATE,0.9984251516432958,0.0,0.8965182523755078,RECALIBRATE,True
IND_RECALIBRATE_15,RECALIBRATE,0.9042189203392511,0.0,0.9507441607503802,RECALIBRATE,True
IND_RECALIBRATE_16,RECALIBRATE,0.986226809479673,0.0,0.8542230033133449,RECALIBRATE,True
IND_RECALIBRATE_17,RECALIBRATE,0.9090115302639427,0.0,0.9219907842731858,RECALIBRATE,True
IND_RECALIBRATE_18,RECALIBRATE,1.0067329900645599,0.0,0.842794484380304,RECALIBRATE,True
IND_RECALIBRATE_19,RECALIBRATE,1.007846376369418,0.0,0.8604785788997806,RECALIBRATE,True
