case_id,truth,alpha,structural_gain,quality,prediction,correct
S20260921_KEEP_01,KEEP,1.0406992149772532,0.0,0.865711837300396,KEEP,True
S20260921_KEEP_02,KEEP,1.0399099335318467,0.0,0.876410341373842,KEEP,True
S20260921_KEEP_03,KEEP,1.0396341468339696,0.0,0.9980371533002348,KEEP,True
S20260921_KEEP_04,KEEP,1.0403478510202737,0.0,0.9019982225677503,KEEP,True
S20260921_KEEP_05,KEEP,1.0402930571221711,0.0,0.8573170811647082,KEEP,True
S20260921_KEEP_06,KEEP,1.0417548398980723,0.0,0.9403838862587688,KEEP,True
S20260921_KEEP_07,KEEP,1.0411972496705777,0.0,0.8461954993221796,KEEP,True
S20260921_KEEP_08,KEEP,1.0404436800734314,0.0,0.8650517907448717,KEEP,True
S20260921_KEEP_09,KEEP,1.039727537452178,0.0,0.9819281435850578,KEEP,True
S20260921_KEEP_10,KEEP,1.041343510692017,0.0,0.9805577601570695,KEEP,True
S20260921_KEEP_11,KEEP,1.0409724648294325,0.0,0.9808987743389717,KEEP,True
S20260921_KEEP_12,KEEP,1.040897584689908,0.0,0.8878552658717054,KEEP,True
S20260921_KEEP_13,KEEP,1.0402414832754328,0.0,0.9542566723753356,KEEP,True
S20260921_KEEP_14,KEEP,1.0408706386382105,0.0,0.90128646151493,KEEP,True
S20260921_KEEP_15,KEEP,1.04153101832087,0.0,0.8380009539711211,KEEP,True
S20260921_KEEP_16,KEEP,1.0404593244619234,0.0,0.9783407649976621,KEEP,True
S20260921_KEEP_17,KEEP,1.0417836418299198,0.0,0.9571127595064877,KEEP,True
S20260921_KEEP_18,KEEP,1.0413632133147699,0.0,0.8559163148763174,KEEP,True
S20260921_KEEP_19,KEEP,1.0401661715063177,0.0,0.8280909248245671,KEEP,True
S20260921_KEEP_20,KEEP,1.040121842456807,0.0,0.9555212658424667,KEEP,True
S20260921_RECALIBRATE_01,RECALIBRATE,0.9299703559574026,0.0,0.9848735779238221,RECALIBRATE,True
S20260921_RECALIBRATE_02,RECALIBRATE,0.948090778298974,0.0,0.8529038497356545,RECALIBRATE,True
S20260921_RECALIBRATE_03,RECALIBRATE,0.9848740338382995,0.0,0.9552540348187748,RECALIBRATE,True
S20260921_RECALIBRATE_04,RECALIBRATE,0.9810397382182293,0.0,0.8915879461233004,RECALIBRATE,True
S20260921_RECALIBRATE_05,RECALIBRATE,0.9821163116009086,0.0,0.9752926740654791,RECALIBRATE,True
S20260921_RECALIBRATE_06,RECALIBRATE,0.929505318373578,0.0,0.9767081231958125,RECALIBRATE,True
S20260921_RECALIBRATE_07,RECALIBRATE,0.9084062512951929,0.0,0.9149967674619295,RECALIBRATE,True
S20260921_RECALIBRATE_08,RECALIBRATE,0.9011608251806696,0.0,0.8660274616418551,RECALIBRATE,True
S20260921_RECALIBRATE_09,RECALIBRATE,0.94975060044181,0.0,0.9313329217337432,RECALIBRATE,True
S20260921_RECALIBRATE_10,RECALIBRATE,0.9937864361389486,0.0,0.8538338416719986,RECALIBRATE,True
S20260921_RECALIBRATE_11,RECALIBRATE,0.9064844983942066,0.0,0.9737772410173122,RECALIBRATE,True
S20260921_RECALIBRATE_12,RECALIBRATE,0.9847730916179895,0.0,0.9808248417539942,RECALIBRATE,True
S20260921_RECALIBRATE_13,RECALIBRATE,0.9290199230199377,0.0,0.9297653012956081,RECALIBRATE,True
S20260921_RECALIBRATE_14,RECALIBRATE,1.0251557813831556,0.0,0.934545661549865,RECALIBRATE,True
S20260921_RECALIBRATE_15,RECALIBRATE,1.0254612787041617,0.0,0.8656370278326212,RECALIBRATE,True
S20260921_RECALIBRATE_16,RECALIBRATE,1.0010567244345865,0.0,0.9041654012671038,RECALIBRATE,True
S20260921_RECALIBRATE_17,RECALIBRATE,0.9308943155028764,0.0,0.8468031753218808,RECALIBRATE,True
S20260921_RECALIBRATE_18,RECALIBRATE,0.9286283493251373,0.0,0.9525748037276313,RECALIBRATE,True
S20260921_RECALIBRATE_19,RECALIBRATE,0.9566293580665198,0.0,0.9475999515942409,RECALIBRATE,True
S20260921_RECALIBRATE_20,RECALIBRATE,1.025278275644757,0.0,0.8445692524528584,RECALIBRATE,True
S20260921_REVISE_01,REVISE,0.5543801452427962,,0.8255682340883511,RECALIBRATE,False
S20260921_REVISE_02,REVISE,0.6093003928498034,,0.9316210544541925,RECALIBRATE,False
S20260921_REVISE_03,REVISE,0.4587236314266243,,0.8880623032071937,RECALIBRATE,False
S20260921_REVISE_04,REVISE,0.8416049927729925,,0.9169118061362234,RECALIBRATE,False
S20260921_REVISE_05,REVISE,0.6165642154849557,,0.8666381992405912,RECALIBRATE,False
S20260921_REVISE_06,REVISE,0.7331514166073464,,0.975565230856495,RECALIBRATE,False
S20260921_REVISE_07,REVISE,0.915001729539408,,0.9430375673623858,RECALIBRATE,False
S20260921_REVISE_08,REVISE,0.7841114258988598,,0.966283436442967,RECALIBRATE,False
S20260921_REVISE_09,REVISE,0.648823047414878,,0.9122099206016835,RECALIBRATE,False
S20260921_REVISE_10,REVISE,0.6824406224328814,,0.8794590062135166,RECALIBRATE,False
S20260921_REVISE_11,REVISE,0.887656590492017,,0.919684801933567,RECALIBRATE,False
S20260921_REVISE_12,REVISE,0.5362764870411565,,0.998430954603968,RECALIBRATE,False
S20260921_REVISE_13,REVISE,0.48354156085819006,,0.9399813799944756,RECALIBRATE,False
S20260921_REVISE_14,REVISE,0.8009552150237986,,0.8991486529397414,RECALIBRATE,False
S20260921_REVISE_15,REVISE,0.675219303748895,,0.986138589878925,RECALIBRATE,False
