date,temperature,rainfall,solar_radiation,sm_surface,sm_rootzone,sm_surface_wetness,n_obs_3hourly,ndvi,ndvi_observed,is_observed,is_interpolated,fill_method,valid_pixel_fraction,n_images,temp_diff,rainfall_7d_sum,solar_7d_mean,sm_surface_lag1,sm_rootzone_lag1,ndvi_lag1,sm_surface_noisy,ground_truth_decision,failure_type,noise_std
2018-06-01,20.1,0.0,29.81,0.4075424373149872,0.424164354801178,0.7809598445892334,8,0.2308607522601226,0.2308607522601226,1,0,observed,1.0,1.0,0.0,0.0,29.81,0.4075424373149872,0.424164354801178,0.2308607522601226,0.4069806920820709,KEEP,observation_noise,0.0013011840041300745
2018-06-02,21.61,0.0,28.21,0.3987295627593994,0.4214181900024414,0.764167845249176,8,0.2337550395750386,,0,1,interpolated,0.0,0.0,1.509999999999998,0.0,29.01,0.4075424373149872,0.424164354801178,0.2308607522601226,0.39691717743269106,KEEP,observation_noise,0.0013011840041300745
2018-06-03,21.58,0.0,19.17,0.3970503807067871,0.4193564653396606,0.7608667016029358,8,0.2366493268899547,,0,1,interpolated,0.0,0.0,-0.0300000000000011,0.0,25.73,0.3987295627593994,0.4214181900024414,0.2337550395750386,0.3974557914755024,KEEP,observation_noise,0.0013011840041300745
2018-06-04,22.35,0.0,23.57,0.3983989059925079,0.4177184402942657,0.7634599208831787,8,0.2395436142048707,,0,1,interpolated,0.0,0.0,0.7700000000000031,0.0,25.19,0.3970503807067871,0.4193564653396606,0.2366493268899547,0.39838168497846627,KEEP,observation_noise,0.0013011840041300745
2018-06-05,20.41,35.34,5.8,0.4422498941421509,0.4319466948509216,0.8475400805473328,8,0.2424379015197867,,0,1,interpolated,0.0,0.0,-1.9400000000000013,35.34,21.312,0.3983989059925079,0.4177184402942657,0.2395436142048707,0.4441362306478791,KEEP,observation_noise,0.0013011840041300745
2018-06-06,20.08,6.51,8.56,0.4317739903926849,0.4352795481681824,0.8274420499801636,8,0.2453321888347028,,0,1,interpolated,0.0,0.0,-0.3300000000000018,41.85,19.186666666666667,0.4422498941421509,0.4319466948509216,0.2424379015197867,0.4321619419668119,KEEP,observation_noise,0.0013011840041300745
2018-06-07,22.68,0.05,18.63,0.4109032750129699,0.4286295771598816,0.7874821424484253,8,0.2482264761496188,,0,1,interpolated,0.0,0.0,2.6000000000000014,41.900000000000006,19.107142857142858,0.4317739903926849,0.4352795481681824,0.2453321888347028,0.40982342756920975,KEEP,observation_noise,0.0013011840041300745
2018-06-08,22.45,20.19,15.99,0.4062698781490326,0.4253963232040405,0.778599202632904,8,0.2511207634645349,,0,1,interpolated,0.0,0.0,-0.2300000000000004,62.09,17.13285714285714,0.4109032750129699,0.4286295771598816,0.2482264761496188,0.4041929822079455,KEEP,observation_noise,0.0013011840041300745
2018-06-09,22.18,0.13,23.35,0.405066043138504,0.4228802323341369,0.7763257622718811,8,0.2540150507794509,,0,1,interpolated,0.0,0.0,-0.2699999999999996,62.220000000000006,16.43857142857143,0.4062698781490326,0.4253963232040405,0.2511207634645349,0.40586423858509363,KEEP,observation_noise,0.0013011840041300745
2018-06-10,22.01,4.22,14.72,0.4324427843093872,0.4284074306488037,0.8287545442581177,8,0.256909338094367,,0,1,interpolated,0.0,0.0,-0.1699999999999981,66.44,15.802857142857144,0.405066043138504,0.4228802323341369,0.2540150507794509,0.4320295320158531,KEEP,observation_noise,0.0013011840041300745
2018-06-11,20.71,44.52,4.78,0.4382875561714172,0.4367735385894775,0.8400412201881409,8,0.259803625409283,,0,1,interpolated,0.0,0.0,-1.3000000000000007,110.96,13.118571428571428,0.4324427843093872,0.4284074306488037,0.256909338094367,0.43819127291049165,KEEP,observation_noise,0.0013011840041300745
2018-06-12,19.44,3.6,22.45,0.4171523451805115,0.4320844113826751,0.7994688153266907,8,0.2626979127241991,,0,1,interpolated,0.0,0.0,-1.2699999999999996,79.22,15.497142857142858,0.4382875561714172,0.4367735385894775,0.259803625409283,0.4163604043888405,KEEP,observation_noise,0.0013011840041300745
